a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.54+2+g204a4ab-2
acl 2.2.53-1
acpi 1.7-2
adb-sync-git r34.b0a2a10-1
adobe-source-han-sans-cn-fonts 2.000-2
adwaita-icon-theme 3.30.1-1
alsa-lib 1.1.8-1
alsa-plugins 1.1.8-1
alsa-utils 1.1.8-1
android-file-transfer 3.7-2
android-tools 9.0.0_r30-2
android-udev 20190114-1
aom 1.0.0-1
apm 2.1.3-2
apr 1.6.5-1
apr-util 1.6.1-5
archlinux-keyring 20190123-1
archlinuxcn-keyring 20190109-1
argon2 20171227-3
aribb24 1.0.3-2
aspell 0.60.7rc1-1
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atom 1.34.0-1
attr 2.4.48-1
audit 2.8.4-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-1
avfs 1.0.6-1
bamf 0.5.3-2
bash 5.0.0-1
bash-completion 2.8-1
bc 1.07.1-3
binutils 2.31.1-4
bison 3.2-1
bluez 5.50-6
bluez-libs 5.50-6
blur-effect 1.1.3-1
boost-libs 1.69.0-1
bridge-utils 1.6-3
broadcom-wl-dkms 6.30.223.271-18
brotli 1.0.7-1
btrfs-progs 4.20.1-2
bubblewrap 0.3.1-1
byzanz 0.3.0.1-4
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.42.1-1
ca-certificates-utils 20181109-1
cairo 1.16.0-1
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
celt 0.11.3-3
chromaprint 1.4.3-2
chromium 72.0.3626.96-3
cifs-utils 6.8-2
clucene 2.3.3.4-10
clutter-gtk 1.8.4-1
colord 1.4.3-2
containerd 1.2.0-3
coreutils 8.30-1
cracklib 2.9.6-3
cryptsetup 2.0.6-1
ctemplate 2.3-5
cups 2.2.10-2
cups-filters 1.22.0-2
curl 7.64.0-1
db 5.3.28-4
dbus 1.12.12-1
dbus-glib 0.110-1
dconf 0.30.1-1
deepin-account-faces 1.0.11-1
deepin-anything 0.0.3-5
deepin-anything-arch 0.0.3-11
deepin-api 3.16.0-1
deepin-baidu-pan 5.5.4deepin8-1
deepin-calculator 1.0.10-1
deepin-calendar 1.2.6-1
deepin-clone 1.1.0-1
deepin-clutter 1.26.2-2
deepin-cogl 1.22.5-2
deepin-community-wallpapers 1:1.7.6-1
deepin-control-center 4.9.2.1-1
deepin-daemon 3.22.0-1
deepin-desktop-base 2:2019.01.28-1
deepin-desktop-schemas 3.11.0-1
deepin-dock 4.8.9-2
deepin-draw 1.0.0-2
deepin-editor 1.2.6.3-1
deepin-file-manager 1:4.7.5-3
deepin-fonts-wine 2.18_17-1
deepin-grub2-themes 1.0.0-3
deepin-gtk-theme 17.10.10-1
deepin-icon-theme 15.12.68-1
deepin-image-viewer 1.3.8-1
deepin-launcher 4.6.4-2
deepin-libwine 2.18_17-1
deepin-menu 3.4.1-1
deepin-metacity 3.22.24-1
deepin-movie 1:3.2.19-1
deepin-music 3.1.14-1
deepin-mutter 3.20.38-1
deepin-network-utils 0.0.9-1
deepin-picker 1.6.4-1
deepin-polkit-agent 0.2.4-1
deepin-polkit-agent-ext-gnomekeyring 0.1.0-1
deepin-qt-dbus-factory 1.0.8-2
deepin-qt5dxcb-plugin 1.1.23-2
deepin-qt5integration 0.3.7.2-2
deepin-screen-recorder 2.7.7-1
deepin-screenshot 4.1.7-1
deepin-session-ui 4.8.7-2
deepin-shortcut-viewer 1.3.5-1
deepin-sound-theme 15.10.3-1
